,J2,GSE
0,0.0,-25.054198134188145
1,0.005,-25.00210118353906
2,0.01,-24.950105084887785
3,0.015,-24.89821102093668
4,0.02,-24.84642020113632
5,0.025,-24.79473386265183
6,0.03,-24.743153271377412
7,0.035,-24.691679723001847
8,0.04,-24.640314544128287
9,0.045,-24.5890590934517
10,0.05,-24.53791476299797
11,0.055,-24.486882979428117
12,0.06,-24.435965205412483
13,0.065,-24.385162941079194
14,0.07,-24.334477725541888
15,0.075,-24.283911138512376
16,0.08,-24.23346480200353
17,0.085,-24.183140382129316
18,0.09,-24.13293959100819
19,0.095,-24.082864188777496
20,0.1,-24.032915985726817
21,0.105,-23.983096844558716
22,0.11,-23.933408682786364
23,0.115,-23.88385347527809
24,0.12,-23.83443325695993
25,0.125,-23.78515012568801
26,0.13,-23.736006245303944
27,0.135,-23.68700384888712
28,0.14,-23.63814524221966
29,0.145,-23.589432807480453
30,0.15,-23.540869007187
31,0.155,-23.492456388404708
32,0.16,-23.444197587245828
33,0.165,-23.396095333681778
34,0.17,-23.348152456695157
35,0.17500000000000002,-23.300371889800036
36,0.18,-23.25275667696214
37,0.185,-23.20530997895342
38,0.19,-23.15803508017874
39,0.195,-23.110935396016703
40,0.2,-23.06401448072022
41,0.20500000000000002,-23.01727603592732
42,0.21,-22.97072391983794
43,0.215,-22.924362157117915
44,0.22,-22.878194949597702
45,0.225,-22.832226687840834
46,0.23,-22.786461963664244
47,0.23500000000000001,-22.740905583702013
48,0.24,-22.69556258411321
49,0.245,-22.650438246545836
50,0.25,-22.605538115480126
51,0.255,-22.560868017088804
52,0.26,-22.516434079765702
53,0.265,-22.47224275649155
54,0.27,-22.428300849223195
55,0.275,-22.38461553551367
56,0.28,-22.34119439759236
57,0.28500000000000003,-22.29804545415966
58,0.29,-22.255177195177946
59,0.295,-22.212598619970723
60,0.3,-22.17031927897486
61,0.305,-22.128349319526716
62,0.31,-22.086699536102177
63,0.315,-22.045381425472065
64,0.32,-22.00440724727949
65,0.325,-21.963790090592155
66,0.33,-21.923543947031238
67,0.335,-21.8836837911272
68,0.34,-21.844225668600355
69,0.34500000000000003,-21.805186793307826
70,0.35000000000000003,-21.766585653635406
71,0.355,-21.728442129137665
72,0.36,-21.690777618236876
73,0.365,-21.653615177772085
74,0.37,-21.616979675132573
75,0.375,-21.58089795360169
76,0.38,-21.545399011357564
77,0.385,-21.51051419430379
78,0.39,-21.476277402506245
79,0.395,-21.442725309454605
80,0.4,-21.40989759260597
81,0.405,-21.37783717265118
82,0.41000000000000003,-21.34659045761583
83,0.41500000000000004,-21.316207586203593
84,0.42,-21.28674266265266
85,0.425,-21.258253972754726
86,0.43,-21.230804167556666
87,0.435,-21.204460397649736
88,0.44,-21.179294376943968
89,0.445,-21.15538235063663
90,0.45,-21.1328049380714
91,0.455,-21.11164681790906
92,0.46,-21.091996221271454
93,0.465,-21.073944199283385
94,0.47000000000000003,-21.05758363589175
95,0.47500000000000003,-21.043007986172046
96,0.48,-21.030309735490743
97,0.485,-21.01957859623008
98,0.49,-21.010899485638117
99,0.495,-21.00435035868662
