Number of parameters: 7346
step=0, E=(-19.599656973167377-0.04495972595282528j), E_err=0.21140163247708654, E_var=22.836922259342334, info=()
step=1, E=(-20.335006264071275-0.04538247820832361j), E_err=0.19451510435574304, E_var=19.334260295310585, info=()
step=2, E=(-19.891499905410804-0.02692124149038875j), E_err=0.19660990212647722, E_var=19.752936796847486, info=()
step=3, E=(-20.03267797895737+0.010682790310975404j), E_err=0.1959802904580077, E_var=19.626628140730585, info=()
step=4, E=(-20.00403131357824-0.001946481984901723j), E_err=0.19210589662246577, E_var=18.858289189249092, info=()
step=5, E=(-20.20329204242899+0.021132949534179633j), E_err=0.18512623621489707, E_var=17.512850624232968, info=()
step=6, E=(-20.11677484546353-0.03502833114003824j), E_err=0.1851473822224786, E_var=17.516851656500496, info=()
step=7, E=(-20.678649037603112-0.02731913859300099j), E_err=0.19016223310663322, E_var=18.478615873951874, info=()
step=8, E=(-21.170571253240226-0.08439728852605977j), E_err=0.17376343221610738, E_var=15.428996221891612, info=()
step=9, E=(-21.1228227527193-0.024786598700900792j), E_err=0.17022534117386562, E_var=14.807076723434824, info=()
step=10, E=(-21.0112095169018+0.03625275434351981j), E_err=0.16383372352161166, E_var=13.71600086007046, info=()
step=11, E=(-21.580462269682535-0.016860376248732385j), E_err=0.14971556597360877, E_var=11.45393760504178, info=()
step=12, E=(-21.621577470723075-0.04175778123398642j), E_err=0.14952158986070035, E_var=11.42427668141493, info=()
step=13, E=(-21.618261088293636-0.02232844721234357j), E_err=0.14727930983195103, E_var=11.084200698438247, info=()
step=14, E=(-21.84899284132449+0.011734288767104376j), E_err=0.14426494591641398, E_var=10.635123430955847, info=()
step=15, E=(-21.763202901713335-0.049994489379156216j), E_err=0.13754503124587372, E_var=9.6674228020389, info=()
step=16, E=(-21.9737581067836-0.015050390200601688j), E_err=0.13443075450228054, E_var=9.234601783342786, info=()
step=17, E=(-21.88958952307821+0.007310966229360609j), E_err=0.12036489372020229, E_var=7.403218604180829, info=()
step=18, E=(-21.876915207222133+0.020994589279545155j), E_err=0.12067017760147988, E_var=7.440820090572448, info=()
step=19, E=(-22.003449428326363+0.0013063732310211584j), E_err=0.11195003955372733, E_var=6.404266602957449, info=()
step=20, E=(-21.887529108026364+0.0192729466954783j), E_err=0.10454314325895812, E_var=5.584856358058614, info=()
step=21, E=(-22.102730723671264-0.01848266204382392j), E_err=0.11379513965396144, E_var=6.6171095763298045, info=()
step=22, E=(-22.200192927858616-0.05534690403818994j), E_err=0.10216507935562627, E_var=5.333666457707862, info=()
step=23, E=(-22.106988246687244-0.021491219821881367j), E_err=0.11393423607490161, E_var=6.633296186635391, info=()
step=24, E=(-22.141535456034724+0.00875704771725926j), E_err=0.11960644694319368, E_var=7.310213798841627, info=()
step=25, E=(-22.31055442389531-0.01001184587614056j), E_err=0.1199569287077843, E_var=7.353118684697272, info=()
step=26, E=(-22.357070361088166-0.03259550501400175j), E_err=0.12286549127032474, E_var=7.714019690945203, info=()
step=27, E=(-22.264993060338156-0.022461718468725425j), E_err=0.11464201220020752, E_var=6.715966181230703, info=()
step=28, E=(-22.273709229073866-0.010882541320633252j), E_err=0.10144545984019206, E_var=5.258793655638078, info=()
step=29, E=(-22.41946782540993+0.016656099552120718j), E_err=0.10728910715334318, E_var=5.882096734532154, info=()
step=30, E=(-22.38830808841582+0.011324880964046002j), E_err=0.11688455002088528, E_var=6.98128099516185, info=()
